,,,,,,,214-1001-v001
,,,,,,,日程第２ 会期の件
,,,,,,,令和06年10月1日
議員名,政党/会派,選挙区,任期満了,情報URL,会派変更,欠席率,https://www.sangiin.go.jp/japanese/touhyoulist/214/214-1001-v001.htm
足立敏之,自由民主党,,,,False,0.0%,賛成
阿達雅志,自由民主党,,,,False,0.0%,賛成
青木一彦,自由民主党,,,,False,0.0%,賛成
青山繁晴,自由民主党,,,,False,0.0%,賛成
赤池誠章,自由民主党,,,,False,0.0%,賛成
赤松健,自由民主党,,,,False,0.0%,賛成
浅尾慶一郎,自由民主党,,,,False,0.0%,賛成
朝日健太郎,自由民主党,,,,False,0.0%,賛成
有村治子,自由民主党,,,,False,0.0%,賛成
井上義行,自由民主党,,,,False,0.0%,賛成
生稲晃子,自由民主党,,,,False,0.0%,賛成
石井準一,自由民主党,,,,False,0.0%,賛成
石井浩郎,自由民主党,,,,False,0.0%,賛成
石井正弘,自由民主党,,,,False,0.0%,賛成
石田昌宏,自由民主党,,,,False,0.0%,賛成
磯崎仁彦,自由民主党,,,,False,0.0%,賛成
猪口邦子,自由民主党,,,,False,0.0%,賛成
今井絵理子,自由民主党,,,,False,0.0%,賛成
岩本剛人,自由民主党,,,,False,0.0%,賛成
上野通子,自由民主党,,,,False,0.0%,賛成
臼井正一,自由民主党,,,,False,0.0%,賛成
江島潔,自由民主党,,,,False,0.0%,賛成
衛藤晟一,自由民主党,,,,False,0.0%,賛成
小野田紀美,自由民主党,,,,False,0.0%,賛成
越智俊之,自由民主党,,,,False,0.0%,賛成
大家敏志,自由民主党,,,,False,0.0%,賛成
太田房江,自由民主党,,,,False,0.0%,賛成
岡田直樹,自由民主党,,,,False,0.0%,賛成
加田裕之,自由民主党,,,,False,0.0%,賛成
加藤明良,自由民主党,,,,False,0.0%,賛成
梶原大介,自由民主党,,,,False,0.0%,賛成
片山さつき,自由民主党,,,,False,0.0%,賛成
神谷政幸,自由民主党,,,,False,0.0%,賛成
北村経夫,自由民主党,,,,False,0.0%,賛成
こやり隆史,自由民主党,,,,False,0.0%,賛成
小林一大,自由民主党,,,,False,0.0%,賛成
古賀友一郎,自由民主党,,,,False,0.0%,賛成
古庄玄知,自由民主党,,,,False,0.0%,賛成
上月良祐,自由民主党,,,,False,0.0%,賛成
佐藤啓,自由民主党,,,,False,0.0%,賛成
佐藤信秋,自由民主党,,,,False,0.0%,賛成
佐藤正久,自由民主党,,,,False,0.0%,賛成
酒井庸行,自由民主党,,,,False,0.0%,賛成
櫻井充,自由民主党,,,,False,0.0%,賛成
山東昭子,自由民主党,,,,False,0.0%,賛成
清水真人,自由民主党,,,,False,0.0%,賛成
自見はなこ,自由民主党,,,,False,0.0%,賛成
白坂亜紀,自由民主党,,,,False,0.0%,賛成
進藤金日子,自由民主党,,,,False,0.0%,賛成
末松信介,自由民主党,,,,False,0.0%,賛成
関口昌一,自由民主党,,,,False,0.0%,賛成
田中昌史,自由民主党,,,,False,0.0%,賛成
高橋克法,自由民主党,,,,False,0.0%,賛成
高橋はるみ,自由民主党,,,,False,100.0%,投票なし
滝沢求,自由民主党,,,,False,0.0%,賛成
滝波宏文,自由民主党,,,,False,0.0%,賛成
武見敬三,自由民主党,,,,False,0.0%,賛成
柘植芳文,自由民主党,,,,False,0.0%,賛成
鶴保庸介,自由民主党,,,,False,0.0%,賛成
堂故茂,自由民主党,,,,False,0.0%,賛成
友納理緒,自由民主党,,,,False,0.0%,賛成
豊田俊郎,自由民主党,,,,False,0.0%,賛成
中曽根弘文,自由民主党,,,,False,100.0%,投票なし
中田宏,自由民主党,,,,False,0.0%,賛成
中西祐介,自由民主党,,,,False,0.0%,賛成
永井学,自由民主党,,,,False,0.0%,賛成
長峯誠,自由民主党,,,,False,0.0%,賛成
西田昌司,自由民主党,,,,False,0.0%,賛成
野上浩太郎,自由民主党,,,,False,0.0%,賛成
野村哲郎,自由民主党,,,,False,0.0%,賛成
羽生田俊,自由民主党,,,,False,0.0%,賛成
長谷川岳,自由民主党,,,,False,0.0%,賛成
長谷川英晴,自由民主党,,,,False,0.0%,賛成
馬場成志,自由民主党,,,,False,0.0%,賛成
橋本聖子,自由民主党,,,,False,0.0%,賛成
比嘉奈津美,自由民主党,,,,False,0.0%,賛成
福岡資麿,自由民主党,,,,False,0.0%,賛成
藤井一博,自由民主党,,,,False,0.0%,賛成
藤川政人,自由民主党,,,,False,0.0%,賛成
藤木眞也,自由民主党,,,,False,0.0%,賛成
船橋利実,自由民主党,,,,False,0.0%,賛成
古川俊治,自由民主党,,,,False,0.0%,賛成
星北斗,自由民主党,,,,False,0.0%,賛成
堀井巌,自由民主党,,,,False,0.0%,賛成
本田顕子,自由民主党,,,,False,0.0%,賛成
